,id,titles,recommendations,views,regdate,author,link,contents,sentiments,summary
13,46448,"🚨[디코] 우마무스메 커뮤니티 / 유입, 정보 공유, 서클홍보, 소통 목적",0,62,23.07.04,귀여운청정수,https://cafe.daum.net/umamusume-kor/Z4oy/46448,"🚨[디코] 우마무스메 커뮤니티 / 유입, 정보 공유, 서클홍보, 소통 목적 https://discor d.gg/xMeKhD4NbQJoin the 우마무스메 커뮤니티 Discord Server!Check out the 우마무스메 커뮤니티 community on Discord - hang out with 679 other members and enjoy free voice and text chat.discord.com#유입 #육성레이스, #캐릭터육성집, #뉴비양성가이드, #고정정보 #우마무스메 스트리머 방송찾기, #정보공유 # 카테고리의 [📖ㅣ중요정보일람]은 팁 외 외부링크 확인 후 좋은 정보를 선정한 내용입니다.* 목차 ╭━━━━━━━━ 뉴비 추천 모음 ━━━━━━━━╮[ 미래시 & 과금 가이드 ]     뉴비 추천[ 미래시 ]    뉴비 추천[ 바쿠신 고민상담 총집 / 기본기 알아가기 ]     뉴비 추천[ SSR/SR 서포터 카드 티어표 ]    뉴비 추천[ 서포트 카드 효과 및 소지스킬 바로보기 ]    뉴비 추천[ 1성, 2성 추천 말]    뉴비 추천[ 비추천 스킬 류]  뉴비 추천╭━━━━━━━━━ 각질 이해 + 추천 서폿카드  ━━━━━━━━━╮[ 최강 SSR + SR 서포트카드 ][ 각질(말 스타일 별) 팀 레이스 용 스탯 목표치 ]   육성 시 추천[ (말 스타일)각질 / 거리별 말 티어 - PvP 티어표 ]   육성 시 추천╭━━━━━━━  인자작에 대해서 ━━━━━━━━╮[ 인자 계승 기초요령 - 덱 빌드 , 각질 별 셋팅 ]   육성 시 추천 [ 인자작하려면 봐야하는 G1 제패 보너스 ]   육성 시 추천╭━━━━━━━━━ 기타 자료 ━━━━━━━━━╮[ 대회 스케쥴 - 달성시 보너스 스탯이 있음 ]    육성 시 추천[캐릭터별 히든 육성이벤트 + 추가스텟 및 보상]   육성 시 추천[캐릭터별 히든 육성이벤트2 + 추가스텟 및 보상 + 그외 경기 및 스킬정보]   육성 시 추천[ 카드 덱 빌더 테스트 사이트 ]    육성 시 추천[ 이벤트 선택지 ]   육성 시 추천[ 스킬 정보]   육성 시 추천[ 친구찾기 ][ 아카라이브 공략 정보모음 ][ 인자상성 사이트 ] UmaMusume On GameTora[ 팀레이스 이해하기 ] [공카 닉네임 님 모음글]  - 캐릭정보, 3관경기, 경기장(팀레/챔미/거리및작전/섶카/보조프로그램 etc[챔피언스 미팅 시뮬레이션][가챠 시뮬레이터][ 우마무스메 통합 정보포 (제작자 : 나기) [ 미래시 , 3관 , 레이스 스케쥴, 팀레이스 편성, 레이스 인자, 히든 이벤트 기타등등 ][ 챔미 각질별 말 티어확인하는 곳 ][챔미언스 미팅 미래시 및 공략글][거리별 레이스-레이스 스케쥴표] #📙ㅣ캐릭터육성집  - 국민트리 말별 육성정보((구)정보)* 리세 관련 및 기초 육성법 인자작은 메뉴 [#📘ㅣ뉴비양성일람]  참고 * 우마서포터 추천 https://gametora.com/ko/umamusume/supports* 어플리케이션 ' 말딸 이벤트북 ' 추천-> 이벤트 선택지의 효과, 내용을 보여줌 디스코드 목적 : 정보공유, 써클홍보, 친구추천, 소통공간, 정보 보존성이 좋습니다.

",0.0,"우마무스메 커뮤니티 디스코드 서버는 유입, 정보 공유, 서클 홍보, 소통을 목적으로 한다."
14,46447,"나리타, 이대리 없이 장거리 육성 힘드네요 ㅠㅠ",0,149,23.07.04,Ekzo엑조,https://cafe.daum.net/umamusume-kor/Z4oy/46447,"조금 꼬인 것도 있지만 이정도면 잘 나온 것 같네요. 힘들다 ㅠㅠ

",-0.5,"건의사항에는 약간의 난제도 있지만, 전반적으로 잘 정리된 것으로 보입니다. 그러나 이 일은 힘들게 진행될 것 같습니다. ㅠㅠ"
15,46446,단챠 첨으로,0,107,23.07.04,츠즈노아야세,https://cafe.daum.net/umamusume-kor/Z4oy/46446,"3성나와줬네요. 얘 좋나여?

",0.0,건의사항: 3성 나와서 좋은가요?
16,46445,뭐지 PC버전 뭔가 툭툭 끊기는데 왜 인지 모르겠네,0,90,23.07.04,냐메로,https://cafe.daum.net/umamusume-kor/Z4oy/46445,"저사양 모드로 돌려도 몬가가 몬가임  보안 업데이트 한뒤에 리소스가 꼬이기라도 한건가?  이유를 와카랑~

",-0.5,저사양 모드 사용 시 보안 업데이트 이후에도 리소스 문제가 발생하는 이유는 무엇인가요?
17,46443,이렇게 나오면 도축 못하지,0,139,23.07.04,VoIss,https://cafe.daum.net/umamusume-kor/Z4oy/46443,,0.0,
18,46442,챔미용 아르당하고 사토노 키워봤어욤,0,133,23.07.04,Valoissa,https://cafe.daum.net/umamusume-kor/Z4oy/46442,"이게 고점이라 더이상 키우긴 힘드네요ㅠㅠ이제 3번째 챔미캐릭 키워야겠어요카페나 힐라스 둘중에서는 어떤캐릭이 이번에 강할까용?

",0.0,"아이템 고점으로 인해 캐릭터를 키우는게 어려워졌고, 세 번째 챔피언을 키우기로 결정했는데, 이번에는 카페나 힐라스 중 누가 강할지 궁금합니다."
19,46441,조졌습니다..,0,182,23.07.04,달콤한캔디향,https://cafe.daum.net/umamusume-kor/Z4oy/46441,"사토노가 너무 귀여워서 9000쥬얼 무지성 꼴박했다가 노3성..이제 남은 쥬얼은 900개..지능시비 준비하려고 모은건데 허허..망했네욤..이건 사토노가 너무 귀여운게 죄에요!!

",-1.0,"사토노가 너무 귀여워서 무작정 9000쥬얼을 소비했지만 결과는 노3성이 되었고, 현재 남은 쥬얼은 900개로, 지능시비 준비를 위해 모은 것인데 큰 실수였다. 사토노의 귀여움에 속은 것을 후회하고 있다."
20,46440,이제 올클까지 3개가 남은,0,44,23.07.04,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46440,,0.0,
21,46439,✨우마무스메 디스코드✨,0,59,23.07.04,미들,https://cafe.daum.net/umamusume-kor/Z4oy/46439,"✨우마무스메 디스코드✨https://discord.gg/qyJUuDZbfUJoin the 우마무스메 디스코드 Discord Server!우마무스메 비공식 디스코드 서버입니다!소통 및 정보 공유를 주 목적으로 하는 서버니 많이 참가해주세요 ㅎㅎ(한섭) | 95 membersdiscord.com우마무스메 디스코드 소통방입니다.소통 및 이벤트 목적으로 개설 된 방이니 많은 참여 부탁드립니다!현재 사쿠라 치요노 오 고민상담 편 삽질중입니다.1회차 이벤트 정보 : https://cafe.daum.net/umamusume-kor/Z4oy/43992디지땅생일기념 정보 (23.05.15) : https://cafe.daum.net/umamusume-kor/Z4oy/451872회차 이벤트 정보 : 미정사자타리우스배 오픈리그 공략 : https://cafe.daum.net/umamusume-kor/ZBi4/385카프리콘배 오픈리그 공략 : https://cafe.daum.net/umamusume-kor/ZBi4/410아쿠아리우스배 오픈리그 공략 : 디스코드 한정 배포피스케스배 오픈리그 공략 : https://cafe.daum.net/umamusume-kor/ZBi4/460?svc=cafeapi피스케스배 / 아리에스배 오픈리그 역병마 깎기 공략 : 구글 프레젠테이션서버 참가 시 #인증 채널에서 인증을 해 주셔야 서버를 이용하실 수 있습니다. 

",0.0,"""우마무스메 디스코드는 우마무스메 게임과 관련된 소통 및 정보 공유를 위한 비공식 디스코드 서버입니다. 많은 참가 부탁드립니다!"""
22,46438,이거 걍 핵전쟁이네요,0,168,23.07.03,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46438,,-0.5,
23,46437,서폿이나 인자좀 빌려주세요...,0,70,23.07.03,이아르,https://cafe.daum.net/umamusume-kor/Z4oy/46437,"일진광풍, 원호의 마에스트로, 곡선의 소믈리에 가지고 있는 거 빌려주세요..(퀘스트 용)

",0.0,"""일진광풍, 원호의 마에스트로, 곡선의 소믈리에를 대여할 수 있는 퀘스트를 추가해주세요."""
24,46436,"🚨[디코] 우마무스메 커뮤니티 / 유입, 정보 공유, 서클홍보, 소통 목적",0,51,23.07.03,귀여운청정수,https://cafe.daum.net/umamusume-kor/Z4oy/46436,"🚨[디코] 우마무스메 커뮤니티 / 유입, 정보 공유, 서클홍보, 소통 목적 https://discor d.gg/xMeKhD4NbQJoin the 우마무스메 커뮤니티 Discord Server!Check out the 우마무스메 커뮤니티 community on Discord - hang out with 679 other members and enjoy free voice and text chat.discord.com#유입 #육성레이스, #캐릭터육성집, #뉴비양성가이드, #고정정보 #우마무스메 스트리머 방송찾기, #정보공유 # 카테고리의 [📖ㅣ중요정보일람]은 팁 외 외부링크 확인 후 좋은 정보를 선정한 내용입니다.* 목차 ╭━━━━━━━━ 뉴비 추천 모음 ━━━━━━━━╮[ 미래시 & 과금 가이드 ]     뉴비 추천[ 미래시 ]    뉴비 추천[ 바쿠신 고민상담 총집 / 기본기 알아가기 ]     뉴비 추천[ SSR/SR 서포터 카드 티어표 ]    뉴비 추천[ 서포트 카드 효과 및 소지스킬 바로보기 ]    뉴비 추천[ 1성, 2성 추천 말]    뉴비 추천[ 비추천 스킬 류]  뉴비 추천╭━━━━━━━━━ 각질 이해 + 추천 서폿카드  ━━━━━━━━━╮[ 최강 SSR + SR 서포트카드 ][ 각질(말 스타일 별) 팀 레이스 용 스탯 목표치 ]   육성 시 추천[ (말 스타일)각질 / 거리별 말 티어 - PvP 티어표 ]   육성 시 추천╭━━━━━━━  인자작에 대해서 ━━━━━━━━╮[ 인자 계승 기초요령 - 덱 빌드 , 각질 별 셋팅 ]   육성 시 추천 [ 인자작하려면 봐야하는 G1 제패 보너스 ]   육성 시 추천╭━━━━━━━━━ 기타 자료 ━━━━━━━━━╮[ 대회 스케쥴 - 달성시 보너스 스탯이 있음 ]    육성 시 추천[캐릭터별 히든 육성이벤트 + 추가스텟 및 보상]   육성 시 추천[캐릭터별 히든 육성이벤트2 + 추가스텟 및 보상 + 그외 경기 및 스킬정보]   육성 시 추천[ 카드 덱 빌더 테스트 사이트 ]    육성 시 추천[ 이벤트 선택지 ]   육성 시 추천[ 스킬 정보]   육성 시 추천[ 친구찾기 ][ 아카라이브 공략 정보모음 ][ 인자상성 사이트 ] UmaMusume On GameTora[ 팀레이스 이해하기 ] [공카 닉네임 님 모음글]  - 캐릭정보, 3관경기, 경기장(팀레/챔미/거리및작전/섶카/보조프로그램 etc[챔피언스 미팅 시뮬레이션][가챠 시뮬레이터][ 우마무스메 통합 정보포 (제작자 : 나기) [ 미래시 , 3관 , 레이스 스케쥴, 팀레이스 편성, 레이스 인자, 히든 이벤트 기타등등 ][ 챔미 각질별 말 티어확인하는 곳 ][챔미언스 미팅 미래시 및 공략글][거리별 레이스-레이스 스케쥴표] #📙ㅣ캐릭터육성집  - 국민트리 말별 육성정보((구)정보)* 리세 관련 및 기초 육성법 인자작은 메뉴 [#📘ㅣ뉴비양성일람]  참고 * 우마서포터 추천 https://gametora.com/ko/umamusume/supports* 어플리케이션 ' 말딸 이벤트북 ' 추천-> 이벤트 선택지의 효과, 내용을 보여줌 디스코드 목적 : 정보공유, 써클홍보, 친구추천, 소통공간, 정보 보존성이 좋습니다.

",0.0,"이 건의사항은 ""우마무스메 커뮤니티 Discord 서버에 가입하여 유입, 정보 공유, 서클홍보, 소통하는 목적입니다."""
25,46435,미치겠슴다,0,104,23.07.03,히즈키유우카,https://cafe.daum.net/umamusume-kor/Z4oy/46435,"어쩡쩡함의 극치를 보여주는 스텟뉴트랙의 시스템 그리고 육성 페이스는 그럭저럭 습관됐다고 생각하지만...합숙과 마지막 3턴 때 억까 당하면 그냥 망해버린다는 걸 뼈저리게 느끼게 되었습니다.

",-0.5,"스텟뉴트랙 시스템과 육성 페이스는 익숙해졌지만, 합숙 중 억까 당하면 망한다는 사실을 깨닫게 되었습니다."
26,46434,이번 육성 망한것 같아요..,0,94,23.07.03,몰라요 그런거,https://cafe.daum.net/umamusume-kor/Z4oy/46434,"억까 3인방 ㄷㄷㄷㄷ

",0.0,"건의사항 요약: ""억까 3인방의 참여를 요청합니다."""
27,46433,고루시 이거 퍼질까요??,0,118,23.07.03,흐나,https://cafe.daum.net/umamusume-kor/Z4oy/46433,"꼬올도 발동안되겠죠?

",0.0,꼬올도 발동이 안 될 것 같아요.
28,46432,앱뜯 하면 안돼는건가?,0,222,23.07.03,토카이,https://cafe.daum.net/umamusume-kor/Z4oy/46432,"PC클라 점검할 동안 우마무스메 앱뜯 하고 있었는데

",0.0,PC클라를 점검하는 동안 우마무스메 앱을 분석하였습니다.
29,46431,와 그냥 한번 뽑고 싶었는데,0,114,23.07.03,귗낳음,https://cafe.daum.net/umamusume-kor/Z4oy/46431,"무테키 8돌째 오구리는 7돌 시키더니 뉴좀 띄워줘..

",0.0,8돌째 오구리에게 7돌 시킨 후에 뉴좀을 띄워주세요.
30,46430,픽뚫 ㅋㅋ,0,147,23.07.03,miyuki89,https://cafe.daum.net/umamusume-kor/Z4oy/46430,,0.0,
31,46429,왜 이제서야 나와주셨소 키타공..,0,225,23.07.03,알레네,https://cafe.daum.net/umamusume-kor/Z4oy/46429,"확정뽑 돌릴 머니가 생겨서 질렀는데무지개 편자가 생겼읍니다.한돌석써서 업글했었는데.. 아까워지네요..그리고 사이게가 점지해준 사토노쨩미안하다 이거 보여주려고 어그로끌었다 무료뽑 수준 실화냐? 사토노쨩 너무 귀엽다 내가 비록 키타산은 없지만 너는 챔미에 덷고가준다 무관이지만

",0.0,"확정뽑 돌릴 때 무지개 편자가 생겨서 아쉬웠고, 업글한 한돌석이 아까워지는 것 같아서 실망했습니다. 사토노 님이 사이게를 점지해주셔서 무료뽑을 할 수 있게 되어 기뻤지만, 너무 귀여운 사토노 쨩이라서 더 좋았습니다."
32,46428,청운의 하늘을 가른 하얀번개,0,71,23.07.03,비제이,https://cafe.daum.net/umamusume-kor/Z4oy/46428,"1년 내내 죽어라 안 나와서 데일리 레전드 레이스로뽑으려고 했는데... 갑툭튀 해준 땡땡이 ㅋ.ㅋ 그럼 레전드 레이스뽑은나리타 브라이언으로 변경합니다ㅎㅎㅎㅎ얼마만의 픽뚫 뉴절먹인지ㅠ 青雲の空を駆け抜けた白い稲妻よ永遠なれ!! 그리고 드디어 64만점으로 클래스6 로 올라 섰습니다. 근데 유지 점수가 70만점.... 곧 강등예정이네요

",0.0,한 해 내내 나타나지 않아서 데일리 레전드 레이스로 뽑으려고 했는데 갑자기 나타나서 난감한 상황이다. 그래서 레전드 레이스로 뽑은 나리타 브라이언으로 변경하려고 한다. 올해 처음으로 픽뚫을 먹은 것 같다. 맑고 청명한 하늘을 달리던 흰 번개여 영원하라!! 그리고 드디어 64만점으로 클래스 6에 올랐다. 하지만 유지 점수는 70만점이라 강등 예정인 것 같다.
33,46427,"챔미위주 연습,준비,질문방",0,83,23.07.03,Glorious,https://cafe.daum.net/umamusume-kor/Z4oy/46427,"챔미 위주로 룸매치 개최 또는 참가팀레, 그 외에도 질문 또는 소통가능합니다.ㅎ(7/3개설 ~   ) https://open.kakao.com/o/gCmeY8sf

",0.0,"챔피언을 중심으로 한 룸매치를 개최하거나 참가팀을 모집하는 건의사항, 그 외에도 질문 및 소통 가능합니다."
34,46426,교환권 어디에 쓸까요?,0,115,23.07.03,mmmm,https://cafe.daum.net/umamusume-kor/Z4oy/46426,,0.0,
35,46424,안녕하세요,0,70,23.07.02,리버렌,https://cafe.daum.net/umamusume-kor/Z4oy/46424,"트위터 터진 탓에 더 이상 우마무스메 관련 트친 분들과의 교류가 불가능해질 것 같아 가입하게 된 리버렌이라고 합니다. 잘 부탁드려요.

",0.0,트위터 터져서 우마무스메 관련 트친들과 소통이 안 되어 가입한 리버렌입니다. 부탁드립니다.
36,46423,1월에 시작한 뉴비(?) 6개월 만에,0,191,23.07.02,모두미,https://cafe.daum.net/umamusume-kor/Z4oy/46423,"클래스 6 유지 처음으로 성공했네요매번 5, 6 왔다 갔다 했었는데 드디어!

",0.0,클래스 6을 유지하는데 드디어 성공했습니다.
37,46422,이 화면 본 적 있나요?,0,117,23.07.02,토카이,https://cafe.daum.net/umamusume-kor/Z4oy/46422,,0.0,
38,46421,무료 1연차,0,100,23.07.02,키트,https://cafe.daum.net/umamusume-kor/Z4oy/46421,,0.0,
39,46420,제 애정캐는 사랑입니다 3,0,33,23.07.02,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46420,,0.0,
40,46418,라이브 영상 국내 발매는 어렵겠죠...?,0,58,23.07.02,HEARTSTATION,https://cafe.daum.net/umamusume-kor/Z4oy/46418,"올해 3월에 나온 라이브 이벤트 스페셜 드리머즈 블루레이가 블루레이 5장 구성 (공연 4편+메이킹 영상 1편)에 3성 확정권이랑 SSR 확정권 한장씩 주는데 35000엔 이거든요 확정권도 확정권인데 공연도 재밌어 보여서 정발되면 좋겠지만 쉽지 않겠죠... https://www.youtube.com/watch?v=q7j2x97Ev2Y  이거 보면 디게 재밌어보이지 않나요 ㅋㅋ

",0.8,"3월에 출시된 라이브 이벤트 스페셜 드리머즈 블루레이는 5장 구성으로, 3성 확정권과 SSR 확정권이 포함되어 있는데 가격이 35000엔이라 정발되기는 힘들 것 같으나 공연이 재밌어 보여서 출시되기를 바라고 있습니다."
41,46417,비틱하러 옴,0,110,23.07.02,어니언링,https://cafe.daum.net/umamusume-kor/Z4oy/46417,"따닥 붙어있으니 예쁘네 

",0.0,따닥 붙어있어서 예뻐 보인다.
42,46416,출발하자마자 스킬 4개가 터지는경우,0,138,23.07.02,시로이,https://cafe.daum.net/umamusume-kor/Z4oy/46416,"현실에서 컨센트레이션을 비롯한 스킬4개가 시작하자마자 터진경우...기수는 역시나 타케 유타카씨.... 참고로 1번인기는 빅 아서라는 할아버지가 박신인 말이엿는데(단거리최강자) 그걸 꺾을정도의 스타트... 게이트인완료 0:50 

",0.0,현실에서 스킬4개가 연속으로 발동되는 경우에 대해 컨센트레이션과 관련된 기수인 타케 유타카가 빅 아서라고 불리는 할아버지를 꺾을 정도의 빠른 시작으로 게이트를 완료한 것 같다. 0:50
43,46415,제 애정캐는 사랑입니다 2,0,53,23.07.02,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46415,,0.0,
44,46414,와 인자작 스킬 진짜 잘붙음,0,172,23.07.01,귗낳음,https://cafe.daum.net/umamusume-kor/Z4oy/46414,"포센 애호가 꼬올 장끝 다붙였는데 왜 인자에 남지 않았지...?

",0.0,포센 애호가 꼬올 장을 다 붙였는데 왜 인자에 남지 않았는지 설명해줘.
45,46413,역시 이럴 때는 통쾌하네요..,0,110,23.07.01,sadonix,https://cafe.daum.net/umamusume-kor/Z4oy/46413,"하위권에 있다가 최종코너에서 단숨에 치고 올라오는 장면은언제봐도 감탄이 절로 나옵니다...     ...다만, 이래서는 고유 스킬을 보기가 힘든 게 단점이지만...

",0.0,"카메오 장면은 멋지지만, 고유 스킬을 보기 어려운 것이 단점입니다."
46,46412,헷갈리시는거 같은데 4탄때 주는건 확정권이에요,0,278,23.07.01,Rapiel,https://cafe.daum.net/umamusume-kor/Z4oy/46412,"3탄 이번에 받은건 교환권(선택권)이건 ssr이 확정으로 뜨지만 무엇이 뜰지 모르는 확정소환권일명 에어샤커 소환권교환권+한돌석 잘 계산하세요

",0.0,3탄에서는 무엇이 뜰지 모르는 확정소환권인 에어샤커 소환권에 교환권(선택권)과 한돌석이 포함되어 있으니 계산을 잘 해야합니다.
47,46410,키타산 블랙은 날 싫어하는듯 합니다,0,63,23.07.01,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46410,,0.0,
48,46408,전 챔미 클구리 보내볼까 합니다,0,132,23.07.01,귗낳음,https://cafe.daum.net/umamusume-kor/Z4oy/46408,"세침사 이벤트로 힐 두개 더받아서 버텨질거 같음 ㅋㅋ

",-0.5,세침사 이벤트에 힐을 추가로 받아서 버틸 수 있을 것 같다.
49,46407,후쿠키타루 4성 만들어서 장거리 육성 결과,0,45,23.07.01,팔콘 사랑,https://cafe.daum.net/umamusume-kor/Z4oy/46407,,0.0,
