,id,titles,recommendations,views,regdate,link,sentiments,contents,summary
10,839,6월 건의사항 중 PC버전 클라이언트에 대한 내용 정리해보았습니다.,0,174,23.06.28,https://cafe.daum.net/umamusume-kor/ZaXF/839,0.5,"1. 건의 내용:  안녕하세요. PC버전 클라이언트 개발 및 개선에 고생이 많으십니다. 보안이슈 관련 몇 몇 가지 구술을 해보려하며 참고가 될 부분은 참고하셨으면 하는 바램으로 적어보려합니다. ■ 클라이언트 재시작 시 로그인 유지    - 로그인을 유지시켜달라는 이유 중 크게 2가지로 나눠질 것 같습니다.       1) 접속 끊김으로 리트라이 시 로그아웃이 발생    - 장기 미사용 시 타임아웃으로 접속이 끊기던가 다른 오류로 인하여 끊기던가 여러 조건들이 있을 것이지만      결과적으로 클라이언트 자체가 꺼지지 않았다는것이 중요합니다. 일반 종료가 아닌 시점에서      접속이 끊긴 경우에 재로그인시 자동으로 로그인이 되는 것이 맞는 것 아닌가 생각합니다.      어짜피 사용시간 종료 및 게임을 종료 할 경우는 당연히 로그아웃이 되어야 됩니다.     2) 일반 종료 시 로그아웃     - 일반 종료인 경우는 X박스 눌러서 종료, Alt+F4, 작업관리자에서 프로세스 종료, 게임 실행 중 PC 전원 버튼을      눌러 강제 종료 등등 여러가지 조건들이 있습니다. 이 모든 케바케에서는 당연히 로그아웃이 이루어져야 합니다.    ※ 정리 하면 결국 장기간 미사용 시 접속 끊김으로 인한 로그아웃부분만 완화 시키면 해결될 것 같습니다.    ■ 설정/필터가 초기화되지 않도록 개선     초기화 개선 부분은 카카오톡 메신저에서 벤치마킹하는것이 어떨가 생각합니다.   카카오톡은 C:\Users\PC이름\AppData\Local\Kakao\KakaoTalk\users 위치에 데이터가 저장이 됩니다.   물론 복호화 처리는 되어있어 사용자가 알 순 없습니다.    유저 데이터 UID 부터 시작해서 내용 전부를 복호화처리하여 스마트폰 및 앱플레이어처럼 관리하면   어떻까 하고 생각해보았습니다. 카카오톡 메신져도 여러 매장 및 오픈 PC들에 보면 다 설치 되어있으며 사용자들도   1회성 로그인을하여 사용하는 경우도 많이 있어 복호화 처리만 잘해서 저장을 할 수 있으면 괜찮다고 생각합니다.   그런 부분은 카카오톡 메시져에서 벤치마킹도 좋은 예라 생각합니다.    게임중에 실시간으로 저장하진 않을거며 클라이언트 실행시 1차적으로 데이터를 불러오는 용도라면   복호화 처리시간도 충분할겁니다. 최종 종료 할 때 어짜피 다시 복호화 해서 저장 할 거니깐요..■ 전체화면, 프레임 제한 해제, 키보드 사용을 위한 맵핑 기능, 클라이언트 창 닫기 클릭 시 종료 확인 팝업 추가 등     1) 전체화면      - 전체화면을 원하시는 분들도 계시지만 따로 클라이언트 자체 화면 조정 세팅 기능이 없어        별도로 config 프로그램을 만들지 않고서는 기존 세로비율로 키우는 방식이 아닌        강제로 가로,새로 개별 비율을 늘리기는 힘들겁니다.        (앱플레이어도 그래서 해상도 변경 시 무조건 재부팅을 하도록 되어있으니깐요)       만약 전체 화면 기능을 추가해야한다면 config 프로그램이 존재 해야 하지 않을까요....   2) 프레임 제한 해제    - 사용자 PC가 다 다르기 때문에 최저 사양을 기준으로 프레임을 제한하는 것 보다 사용자 PC 설정에 맞게      변경 할 수 있게 하는 것이 좋을 것 같습니다. 위에 언급한 Config 프로그램이 그런 대표적인 예시이며      보통 인게임내에서 설정을 변경하지만 모바일은 또 그렇지 않은것 같아 차라리 실행 전 고전 방식처럼      Config 프로그램으로 설정들을 변경하여 본인 입맛에 운영하는게 좋다고 생각합니다.      다만 현재 일본서버 만큼 프레임이 빠르지 않아 가급적 애니매이션 프레임도 높여 주었으면 합니다.    3) 키맵핑 기능    - 이것도 결국 맵핑 데이터를 어떻게 보관해야하냐 초기화 시켜야하나 차이일것 같습니다.       맵핑 데이터 저장부분은 설정/필터에서 언급한 내용과 동일하며 다만 키맵핑 ON/OFF 기능은 인게임 내에서는      구현이 안 될 것으로 보이며 따로 사이드바 기능을 추가하기에는 너무 일이 크고 위에 언급한 Config 프로그램에서     설정하는것이 좋을 것 같습니다.  설정방식을 일반 고전 애뮬레이터에 키수정 방식과 동일하면 될 것 같습니다.    - 다만 키맵핑을 구현하신다는 가정하입니다.... 고려 대상인지는 모르니깐요...   4) 클라이언트 창 닫기 클릭시 종료 확인 팝업    - 이건 쉬운 부분인 것 같습니다. 이벤트 핸들러도 있을거고 따로 팝업만들어서 관리 하는것도 되니 언급하지 않겠습니다.      ※ 정리하면 Config 프로그램이 필요할 것 같습니다. 인 게임에서는 설정에 대한 한계가 있으니 클라이언트 접속기에서     게임 실행 전 설정값을 변경 할 수있는 옵션을 만들어서 거기서 설정해서 들어가게 하는 편이 좋을 것 같습니다.     이건 접속기 개선 부분도 포함이라 또 파트가 다르려나요...   마지막 PC버전클라이언트 서버 닫기전에 확인 시 인자 및 서포트 카드 클릭이 안되는 부분은 개선이 된걸로 보였습니다. PC버전 클라이언트 베타버전 빠른 재오픈을 희망하고자 긴 글을 적었으나 읽고 힌트가 될만 한 부분이 있으셨으면 좋겠습니다. 읽어주셔서 감사합니다.   2. 기타 첨부(스크린샷 / 동영상 등):  

","건의사항 요약: PC 버전 클라이언트 개선을 위해 1) 클라이언트 재시작 시 로그인 유지, 2) 설정/필터 초기화 개선, 3) 전체화면, 프레임 제한 해제, 키보드 맵핑 기능, 4) 클라이언트 창 닫기 시 종료 확인 팝업 추가 등의 기능을 추가하고 Config 프로그램 설치를 제안합니다."
11,838,뉴트랙 NPC 난이도가 이상합니다.,1,159,23.06.28,https://cafe.daum.net/umamusume-kor/ZaXF/838,-0.6,"1. 건의 내용: 뉴트랙 NPC 난이도가 이상합니다. 2. 기타 첨부(스크린샷 / 동영상 등): 다른 아우아로배나 다른 레이스는 마군사 당하는 비율이 적은데 왜 뉴트랙만 눈에 보일정도로 심한지 난이도 조정이 필요해보입니다. 스탯이 높은데도 마군사는 정말 이상합니다. 라이벌이랑 같이 말이죠

","뉴트랙 NPC 난이도가 높아 마군사 당하는 비율이 많은데, 다른 아우아로배나 다른 레이스와 비교했을 때 이상하다는 건의입니다. 마군사 난이도 조정이 필요해보입니다."
12,837,PC클라 창고정 기능 넣어주셨으면 좋겠습니다.,0,78,23.06.28,https://cafe.daum.net/umamusume-kor/ZaXF/837,0.7,"1. 건의 내용: PC클라 창이 맨 위로 올 수 있도록 창고정 기능이 있었으면 좋겠습니다. 이벤트 선택지 같은 여러 공략 사이트를 띄워두고 하는데 창고정 기능 있으면 편하고 쾌적할거 같습니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

",PC클라 창을 맨 위로 올릴 수 있는 창고정 기능이 있으면 이벤트 선택지와 공략 사이트를 편하게 사용할 수 있을 것 같습니다.
13,836,육성 시 고유기 레벨 설정 기능이 있으면 좋겠습니다,0,67,23.06.27,https://cafe.daum.net/umamusume-kor/ZaXF/836,0.8,"1. 건의 내용:챔피언스미팅 오픈리그는 B이하, 평가 점수 8199 이하의 육성 우마무스메만 참가 가능합니다. 그런데 육성 우마무스메의 재능 개화 시 고유기의 기본 레벨이 올라 오픈리그 참가시 평가점수 약 170점 만큼 육성에 필요한 스킬을 배우거나 스탯 올릴 수 없습니다.(녹색 패시브 스킬 쌍원의 포인트가 174점)이에 오픈리그를 즐기는 유저로서 육성 시작 시 고유기 레벨을 1로 설정 하는 기능이 생겼으면 좋겠습니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

",챔피언스미팅 오픈리그에 육성 우마무스메 참가에 조건이 있어 고유기의 레벨을 1로 설정하는 기능이 필요하다고 건의합니다.
14,835,시계 패키지를 추가해주세요,0,129,23.06.27,https://cafe.daum.net/umamusume-kor/ZaXF/835,0.1,"1. 건의 내용: 시계 수급처가 너무 적어 공급이 수요를 따라가지 못 합니다. 이대로면 시계가 부족해서 게임을 그만두는 사람들이 속출할텐데 이를 방지하기 위해 시계 패키지를 내주셨으면 좋겠습니다 2. 기타 첨부(스크린샷 / 동영상 등):  

","1. 시계 수급 부족으로 게임 그만두는 사람들 방지를 위해 시계 패키지 제공 요청.
2. 첨부 없음."
15,834,6월 건의사항에 대한 안내,0,406,23.06.27,https://cafe.daum.net/umamusume-kor/ZaXF/834,0.2,"안녕하세요. 트레이너님.CM게이트입니다. 6월(6월 7일 ~ 6월 26일) 건의 게시판으로 등록해 주신 의견에 대해다시 한번 정리하여 답변드립니다. 게임 개선을 위한 건의사항이라 판단하기 어려운 내용은 답변이 제외되며, 오류 제보는 별도로 오류 게시판을 통해 안내해 드리겠습니다.  [업데이트]•쥬얼을 소모하여 서포트 카드/육성 우마무스메 강화 수치를 초기화 및 강화에 사용된 재화를 반환해 주는 기능을 추가해 주세요.•서포트 카드 교환 pt로 SR 서포트 카드도 교환이 가능했으면 좋겠습니다.해당 기능은 일본 서버에도 반영되지 않은 기능이라 도입이 어려운 점 양해 부탁드립니다. [인게임/콘텐츠]•PC버전 클라이언트(베타) 주요 개선 사항을 건의합니다.- 클라이언트 재시작 시 로그인 유지 혹은 설정/필터가 초기화되지 않도록 개선- 전체화면, 프레임 제한 해제, 키보드 사용을 위한 맵핑 기능, 클라이언트 창 닫기 클릭 시 종료 확인 팝업 추가 등현재 PC버전 클라이언트(베타)는 보안 이슈 예방 차원으로 PC방 등 공공장소에서 로그인 상태가 유지되는 것을 방지하기 위해 접속 시마다 로그인해야 합니다. 다만, 설정 초기화로 인한 트레이너님의 불편이 적지 않은 점 인지하고 있으며 개선 방안을 모색하고 있습니다.또한 건의해 주신 기능들에 대해서도 전달하여 PC버전 클라이언트(베타)의 안정성 확보 후 검토될 수 있도록 하겠습니다. [기타]•알람 시계가 포함된 신규 패키지 판매 혹은 수급처를 늘려주세요.특정 아이템의 입수 방법 추가와 같은 한국 서버만의 차별화된 방식 적용은 어려운 점 양해 부탁드립니다. •위닝라이브 음반을 공식 한글 발매해 주세요.•우마무스메 공식 카카오톡 이모티콘 판매를 건의합니다.카카오게임즈는 게임 사업 이외에는 권리가 없어, 게임 외 콘텐츠에 대해서는 명확한 답변을 드리기가 어렵습니다. •Google Play 게임즈 베타에 우마무스메 프리티 더비 출시를 부탁드립니다.Google Play 게임즈 베타에서의 플레이 지원에 대해 검토가 진행될 수 있으나, 가능 여부에 대해서는 확답을 드리기 어려운 점 참고 부탁드립니다. •공식 홈페이지에 승부복이 없는 우마무스메의 승부복 업데이트를 원하며, 신규 우마무스메가 등장할 때마다 업데이트가 진행되었으면 좋겠습니다.말씀하신 공식 홈페이지 캐릭터 소개 내 일부 우마무스메의 승부복 추가 주기에 대해 내부적으로 검토해 보겠으며, 우마무스메 추가의 경우 한국 서버 기준으로 게임 내에서 등장했을 때 추가되고 있는 점 참고 부탁드립니다.  우마무스메 프리티 더비에 많은 관심과 사랑을 보내주시는 트레이너님들께 진심으로 감사드리며소중한 의견들은 꼼꼼히 확인하여 더 좋은 모습 보여드리기 위해 최선을 다하겠습니다. 감사합니다. 

",6월 건의 게시판에 등록된 의견에 대한 답변과 함께 여러 개선 사항을 건의합니다.
16,833,로그인 방법을 늘려주세요,0,62,23.06.26,https://cafe.daum.net/umamusume-kor/ZaXF/833,0.3,"1. 건의 내용: UID에 패스워드 지정해서 로그인방법 추가부탁드립니다 2. 기타 첨부(스크린샷 / 동영상 등): 기존서버(일본)에 있는 기능이니 꼭 추가부탁ㄹ드립니다. 

",UID에 패스워드를 추가하여 로그인하는 기능을 기존 서버(일본)에도 추가해주시기 바랍니다.
17,832,시계 패키지 건의드립니다,0,70,23.06.26,https://cafe.daum.net/umamusume-kor/ZaXF/832,0.4,,"건의사항을 한 문장으로 요약하면 ""개선할 점을 고려하여 시스템을 업데이트해주세요.""입니다."
18,831,서포트카드 레벨 초기화,0,94,23.06.24,https://cafe.daum.net/umamusume-kor/ZaXF/831,0.5,"1. 건의 내용: 10쥬얼써서 강화로 인한 레벨을 초기화해 들어간 비용을 되받는 시스템인데 (육성으로 얻은 경험치는 계산X)일섭에도 없을거라 싸이게임즈와 검토라도 해주셨으면 합니다.유저에게 편의성을 제공하지만서포트카드 1장당 쥬얼10개를 쓰는거니 싸이게임즈나 카카오게임즈나 손실,손해는 아닐겁니다.2. 기타 첨부(스크린샷 / 동영상 등):  

","이 종류의 시스템은 유저들에게 편의성을 제공하고, 10쥬얼을 사용하여 강화로 인한 레벨 초기화 비용을 되돌려주는 것이므로 손실이나 손해가 없을 것입니다."
19,830,건의 두 가지 드립니다.,0,104,23.06.24,https://cafe.daum.net/umamusume-kor/ZaXF/830,0.6,"1. 건의 내용: 첫번째, 현재 일본서버에서 승부복이 아직 적용되지 않은 시리우스 심볼리말고는 승부복이 적용된 걸로 알고 있습니다. 한국 서버에서는 나카야마 페스타, 나리타 탑 로드, 마블러스 선데이 등 적용되지 않았습니다. 운영자님들께서는 일본 서버에서 승부복 가지고 와서 업데이트를 할 때마다 적용해주셨으면 좋겠습니다. 두번째, 앞으로 업데이트가 미래시처럼 될 것인데 공식 홈페이지에서 업데이트할 때 신규 우마무스메(스토리 이벤트나 n.5주년마다 포함)가 등장할 때마다 추가해주셨으면 좋겠습니다. 너무 홈페이지 불성실하게 추가된 게 아닌가 싶고, N사 K레이싱겜(1달씩 업데이트)처럼 그러지 않았으면 좋겠습니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

","일본 서버와 한국 서버에서 승부복이 적용되지 않은 일부 심볼이 있으니, 업데이트시 해당 심볼에도 적용해주시고, 또한 홈페이지에서 새로운 우마무스메가 추가될 때마다 정확하게 업데이트되었다는 정보를 제공해주셨으면 합니다."
20,829,게임 알림 관련,0,69,23.06.24,https://cafe.daum.net/umamusume-kor/ZaXF/829,-0.4,"1. 건의 내용: 보통 어플에서 알림이 온걸 누르면 자동으로 해당 앱으로 연결이 되는데 우마무스메는 그런게 없네요. 알림을 누르면 게임으로 자동 연결되게 해주시면 좋겠습니다. 2. 기타 첨부(스크린샷 / 동영상 등): 

",알림을 누르면 게임으로 자동 연결되도록 설정 부탁드립니다.
21,828,건의는 건의인데 질문용으로 하는 건의,0,52,23.06.23,https://cafe.daum.net/umamusume-kor/ZaXF/828,0.1,"1. 건의 내용: https://cafe.daum.net/umamusume-kor/ZBhv/215 베스트 컬렉션 중 한국서버에 출시되었으나, 한국서버에서 미보유중인 캐릭터들을 타서버에서 가져와서 전시용으로 하는 것에 관련해서 참여 미인정이 되는가에 대한 건또한 컬렉션을 자랑하기 위해, 한국서버를 메인으로 두고 동시에 타서버의 것들로 컬렉션을 서브로 채우면 그것도 참여 미인정이 되는가에 대한 건본인은 한국, 일본, 대만 모두에 거점을 두고 있기에, 한국서버 출시 육성마 중 미보유분을 일본서버에서 가져와야하는 경우가 있음

","한국서버에 출시된 베스트 컬렉션에서 한국서버에 없는 캐릭터를 타서버에서 가져와서 전시용으로 사용하는 것에 대한 건과, 한국서버를 메인으로 하되 타서버의 아이템으로 컬렉션을 채우는 것에 대한 건에 대해 참여 여부가 확인되는지에 대한 건의사항입니다. 건의자는 한국, 일본, 대만 여러 서버에서 활동하며 한국서버 출시 육성마 중 미보유분을 일본서버에서 가져와야 할 때가 있다고 언급하고 있습니다."
22,827,시계를 패키지형식으로 팔아주세요,0,93,23.06.23,https://cafe.daum.net/umamusume-kor/ZaXF/827,-0.2,"1. 건의 내용:  1년내내 겜했던 사람들이야 대충 시계 천개정도 모아놓고  뉴트랙을 시작하겠지만요. (사실 이것도 많이부족합니다) 복귀유저라던가 처음 진입하시는분들은 시계 재고도 거의 없을뿐더러 시계가 0개일때 개당 10주얼로 사야되는데 이건 그냥 뉴트랙유기하라는 말과 같습니다. 같이 즐기는 유저가 많아야 회사도 좋고 다 좋은거 아니겠습니까? 뉴트랙한정으로 모든 주얼구매에 시계를 붙여주시던가 아니면 수급처를 늘려주셨으면 합니다. 이러다 우리 다죽어요! 2. 기타 첨부(스크린샷 / 동영상 등):  

","1년 동안 게임을 즐기지 않았던 사람들은 시계 재고가 부족하고, 처음 입장하는 사람들은 시계를 구매하기 어려워서 게임을 즐기기 어려운 상황입니다. 뉴트랙한정으로 모든 주얼 구매에 시계를 붙여주거나, 수급처를 늘려주셨으면 좋겠습니다."
23,826,PC버젼 점검진행상황 알려주세요~,0,83,23.06.23,https://cafe.daum.net/umamusume-kor/ZaXF/826,-0.1,"1. 건의 내용: 공지내내용외에 현재 어떤문제로인해 어디까지 진행중이고 테스트중인지 상세한 내용으로 공지글 최신화 요청드리겠습니다~ 2. 기타 첨부(스크린샷 / 동영상 등):  

",공지글에 현재 진행 상황과 테스트 내용을 상세히 포함하여 최신화 요청드립니다.
24,824,건의 내용 취합하여 올립니다.,0,185,23.06.22,https://cafe.daum.net/umamusume-kor/ZaXF/824,0.9,"1. 건의 내용: 안녕하십니까, 먼저 늘 고생하시는 점에 대해 깊은 감사의 말씀 드립니다.게임을 즐기면서 건의할 사항이 생겨 개인적인 건의 내용을 취합해 올리게 됐습니다. 1) S22 안드로이드 13, 5G 핸드폰 기준으로 플레이 중이 아닐 때 알림이 오지 않습니다. 백그라운드 최적화 예외 설정은 해 놓았고, 플레이 중에는 알림이 오는데 플레이 중이 아닐 때 (즉 게임을 꺼놓은 상태에서) 알림이 오지 않습니다. 2) 다른 어플(예를 들면 디시 공앱)을 이용하다가 조금이라도 재사용이 늦어지면 바로 접속 해제됩니다. 3) 오늘 오전 8시경에도 그랬고 2023년 6월 9일 오전 10시 34분 기준, 아무것도 하지 않았으나(우마어시 등 각종 파생 어플도 활용한 적 없음) 튕기는 현상이 몇 번 발생했습니다. 4) ""아오하루배"" 시나리오에서 '데뷔전를'이라고 오타가 다시 발생했습니다. 수정 부탁드립니다. 항상 좋은 게임을 위해 노력해 주셔서 감사합니다.  2. 기타 첨부(스크린샷 / 동영상 등):  

","제안 사항: S22 안드로이드 13, 5G 핸드폰 기준으로 플레이 중이 아닐 때 알림이 오지 않고, 다른 어플을 사용하다가 재사용이 늦어지면 접속이 해제되고, 세션 중에도 튕김 현상이 발생하고, ""아오하루배"" 시나리오에 오타가 있습니다."
25,823,광고정책에 대해 궁금한게 있습니다,0,80,23.06.20,https://cafe.daum.net/umamusume-kor/ZaXF/823,-0.8,,건의: 새로운 음식 메뉴를 추가해주세요.
26,822,SSR 스태미너 브라이트 서포트 오류,0,99,23.06.20,https://cafe.daum.net/umamusume-kor/ZaXF/822,-0.5,"1. 건의 내용: SSR 스태미너 브라이트 무지개 발동 시, 상한 해방 및 레벨업 시 목소리 안 나오는 오류가 있는데 점검했는데도 불구하고 브라이트 서포트 관련해서는 단 한 번도 안 나와있습니다. 운영자님들 대충 점검하지 말아주세요. 2. 기타 첨부(스크린샷 / 동영상 등):  

","SSR 스태미너 브라이트 무지개 발동 시, 목소리 안 나오는 오류를 점검했지만 여전히 발생하고 있습니다. 브라이트 서포트 관련해서도 단 한 번도 해결되지 않았습니다. 운영자님들은 점검에 충분한 시간을 투자해주세요."
27,821,키타산 블랙 대사 번역을 하나로 통일 시켜주세요.,0,215,23.06.19,https://cafe.daum.net/umamusume-kor/ZaXF/821,0.3,"1. 건의 내용:  레이스 탭에 키타산 블랙을 세웠을 때는 '축제 아가씨'라고 하는데 픽업 대사에서는 '축제무스메'라고 나옵니다.축제 아가씨, 축제무스메 둘 다 발음이 '오마츠리 무스메'로 같은데, 딱히 큰 문제는 아니지만 그래도 혹시 모르니 '오마츠리 무스메'의 번역을 하나로 통일 했으면 합니다.그리고 늘 게임 운영에 힘 써주셔서 정말 감사합니다!  2. 기타 첨부(스크린샷 / 동영상 등):  

","레이스 탭의 픽업 대사에서 '축제 아가씨'와 '축제무스메'라는 표현이 혼용되고 있는데, 이를 '오마츠리 무스메'로 통일해주시면 감사하겠습니다. 추가로 게임 운영에 감사드립니다."
28,819,[베타] pc 클라이언트 건의 사항,0,131,23.06.18,https://cafe.daum.net/umamusume-kor/ZaXF/819,0.4,"1. 건의 내용:  먼저 pc 클라이언트를 만들어주서서 감사합니다. 사용중에  x를 눌어 한번에 꺼지네요 x 누를시 화면 닫기를 물어 보어 보는 기능이 있스면 좋겟습니다. --또한 키보드 사용 가능 하게 해주시면 안될까요? 나머지는 밑에 글에 나오니 패스 입니다.  2. 기타 첨부(스크린샷 / 동영상 등):  

","1. 사용자가 pc 클라이언트에서 ""x""를 누르면 한 번에 꺼지는 기능이 있으면 좋겠고, 키보드도 사용 가능하도록 해주세요.  
2. 첨부 파일 없음."
29,818,PC 클라이언트 전체 화면 기능 건의합니다.,0,120,23.06.18,https://cafe.daum.net/umamusume-kor/ZaXF/818,0.7,"1. 건의 내용: 라이브나 스토리등을 볼때 전체 화면으로 보고 싶은데 PC 클라이언트에는 전체 화면 기능을 지원을 안해서 못 보고 있습니다. 가능하다면 전체 화면 기능을 지원해 주면 좋겠습니다. 2. 기타 첨부(스크린샷 / 동영상 등):  

",PC 클라이언트에서는 라이브나 스토리 등을 전체 화면으로 볼 수 있는 기능을 제공해 주셨으면 좋겠습니다.
