,id,titles,recommendations,views,regdate,author,link,contents,summary,sentiments
14,369381,투클라 돌릴만한 스펙,0,266,23.07.06,djdkfj,https://cafe.daum.net/odin/D034/369381,"형님덜 제가 컴터에 대해 잘 모르는데 오딘 투클라 무난하게 돌릴만한 컴터 스펙이 어느정도 될까여

",오딘 투클라를 원활하게 실행할 수 있는 컴퓨터의 스펙을 알려주세요.,0.6
15,369380,바드 스킬값 너무 비싸네요..,0,255,23.07.06,이유비,https://cafe.daum.net/odin/D034/369380,"중립이라 그런지...3억 모으려면...ㄷㄷ 클래스 넘어가기 힘드라......... 돈 좀 내려주라~

",돈을 좀 내려주면 3억을 모으는 것이 중립인 것 같아서 클래스 넘어가기가 힘들다.,-0.3
16,369379,"7울베, 3나겔링 시세 대략 얼마쯤할까요?",0,198,23.07.06,은닉,https://cafe.daum.net/odin/D034/369379,"7울베단검, 3나겔링 구매할까 하는데.. 대략 시세가 어느정도 할까요? 섭마다 다르겠지만요 

",7울베단검과 3나겔링의 시세가 서버마다 다르겠지만 대략적으로 알고 싶습니다.,0.8
17,369378,무적건 명중이냐?!,0,833,23.07.06,핵 산,https://cafe.daum.net/odin/D034/369378,"----1번 각인셋--- (치확13+ 받모9+ 스뎀+ 모뎀)    ----2번 각인셋----(명중9+ 받모11+ 개털 ) 고민되서 미츄어버리겠다!!  이건 특화

","1번 각인셋은 치확, 받모, 스뎀, 모뎀에 특화된 것이고, 2번 각인셋은 명중, 받모, 개털에 특화된 것인데, 결정하기 어려워서 고민하다가 포기하겠다!",-0.1
18,369377,받모 각인만 23% 맞춤,0,907,23.07.06,수전증,https://cafe.daum.net/odin/D034/369377,"체감 개ㅆ오진다

",'체감 개선이 필요합니다.',0.7
19,369375,모바일에서 던전 들어가려고 하면 이미 월드이동이 진행중입니다 라고 뜨는데,0,28,23.07.06,Dongle,https://cafe.daum.net/odin/D034/369375,"이건 뭐임? 

","해당 건의사항은 ""이건 무엇인가요?""라는 질문에 대한 요약입니다.",-0.5
20,369374,방어구 복구권 그냥 넘어갈 생각 마십쇼,0,353,23.07.06,콥철,https://cafe.daum.net/odin/D034/369374,"후일을 위해 이런 상황들은 따져보고 가야합니다 무시하는 사태가 반복되면 이래도 되네 라는 만성적 무시가 도래합니다  

",상황을 무시하면 만성적인 무시가 발생하므로 후일을 위해 상황을 고려해야 합니다.,-0.4
21,369373,지프8강vs울베7강vs열사6강,0,202,23.07.06,금이불,https://cafe.daum.net/odin/D034/369373,"저 셋중에 성능순위,뻥투력순위좀 알려주세요!!!전 쟁도안하고 투력위주로 키우는 유저입니다

",무엇이든 아니면 어디까지나 키워야할게 저 아무리 투력으로 키우는 유저이기에 투력과 성능 순위 및 뻥투력 순위에 대해 알고 싶습니다.,0.9
22,369372,신서버 의문점,0,272,23.07.06,오즈의 마법사,https://cafe.daum.net/odin/D034/369372,"30일 기간제 방어구 세트와 무기가한 달 후 소멸되면 신규서버 유저들 중많은 인원도 항상 그래왔 듯이번에도 한 달 맛만 보고 떠나겠죠?못 떠나게 출석체크를 더 강화할 필요가 있어보임.

",신규서버 유저들이 30일 기간제 방어구 세트와 무기가 한 달 후 소멸되면 맛만 보고 떠나는 것을 방지하기 위해 출석체크를 강화해야 할 필요가 있다.,-0.7
23,369371,"요즘 비도프 귀걸,벨트 시세좀",0,85,23.07.06,곰숲,https://cafe.daum.net/odin/D034/369371,"님들서버 시세 대충 얼마정도임? 비도귀걸이랑벨트

",누군가 서버의 시세를 알려줄 수 있을까? 비도귀걸이와 벨트의 가격도 알고 싶다.,0.1
24,369370,프레이아 최하층에서 프2은장도 이분 왜 계속 중립 죽이나요?,0,379,23.07.06,힐러나무,https://cafe.daum.net/odin/D034/369370,"아시는분???

",애완동물을 허용하는 공공장소에 대한 더 많은 설명과 안내가 필요합니다.,-0.2
25,369369,이정도 컴사양이면 고스펙 겜하기 괜춘한가요,0,374,23.07.06,온담,https://cafe.daum.net/odin/D034/369369,"오딘 포함해서 ㅇㅇ

",건의사항은 오딘을 포함한 것으로 요약됩니다.,0.6
26,369368,"혹한귀걸이 겨울귀걸이중ㅇㅔ 머가나을가요,",0,207,23.07.06,스낫,https://cafe.daum.net/odin/D034/369368,"스나 무과금유저인데...둘다능력치가달라서..치확2퍼랑 방어5  중에 머가효율이좋을지

",스나 무과금 유저인데 스킬 치확이 2퍼와 방어력이 5 중에 어떤게 효율이 좋을까요?,-0.9
27,369367,케쉬악세 복구권은 언제 주냐,0,207,23.07.06,어허너어둬,https://cafe.daum.net/odin/D034/369367,"무기 방어 악세 주었으면 캐쉬악세도 주어야 할거 아니냐~

",캐시 악세사리도 무기 방어 악세사리와 함께 주는 것이 좋을 것 같다는 건의입니다.,0.3
28,369365,오린이 질문!,0,108,23.07.06,신진앞잡이,https://cafe.daum.net/odin/D034/369365,"2.9 엑슬러랑 2.2 세인트 같이 파티 맺어서 사냥을 어디서 돌려야할까요?

",2.9엑슬러와 2.2세인트 같이 파티를 맺고 어디서 사냥을 해야할까요?,0.2
29,369364,형님들 질문좀용,0,92,23.07.06,마카카오딘,https://cafe.daum.net/odin/D034/369364,"1. 현재 성의지가 이정도면 사겠다. 하는 가격이 얼마정도일까요? 예전처럼3~4만은 하지 않을거고.. 2. 부계정 장신구 복구쿠폰 도안으로 바꿨는데 *반지제작* 재료값 생각해서 (비싼)나겔링 vs (덜 비싼)브로크 선택은..?

",1. 성의지 가격이 얼마일까요? 2. 반지 제작을 위해 나겔링과 브로크 중 어떤 재료를 선택해야 할까요?,-0.6
30,369363,부계정 다들 전설 돌리지 말라고 말렸지..,0,1470,23.07.06,Pinocchio,https://cafe.daum.net/odin/D034/369363,"나는 말을 듣지 않았어..첫전설인데...복사가 됐네..?

","첫 전설임에도 불구하고, 내 의견이 들리지 않고 복사되었다.",0.5
31,369362,10만9천원+3만3천= 나겔링 2강..,0,719,23.07.06,온담,https://cafe.daum.net/odin/D034/369362,"14만원이면 바이킹스워프 한번 먹을돈인데 이게 맞는건지 ㅎㅎ...이벤트 도안 뿌리니까 재료템 시세 폭등해서 힘들게 만들었내요 ㅠㅠ 오딘04는 의문의결정이 개당 130원임

","14만원으로는 바이킹스워프 한번 먹을 돈이 맞는지 의문입니다. 이벤트 도안을 뿌리면서 재료템의 가격이 폭등하여 힘들게 만들었습니다. 또한, 오딘04의 개당 가격이 130원임이 의문입니다.",-0.8
32,369361,아스가르드 사냥 초입 스펙,0,601,23.07.06,KONE,https://cafe.daum.net/odin/D034/369361,"공/명/방어/받모댐 어느정도 돼야 하나요현재 풀도핑기준 265 / 345 / 405 / 29% 입니다사냥 돌아가긴하는데 선공몹 3마리 몰리면 계속 죽네여 ㅠㅠ 세인트입니다

","공격력, 생명력, 방어력, 받는 피해량이 얼마나 되어야 할까요? 현재 상태에서 사냥하려면 선공 몬스터가 3마리를 모으면 계속 사망합니다.",0.4
33,369360,각 서버 장신구 도안 시세가 어떻게 되나요?!,0,229,23.07.06,국립재활원,https://cafe.daum.net/odin/D034/369360,"궁금해요옹

",건의사항에 대한 요약을 원해요.,-0.3
34,369359,복구권으로 브로크반지 만들었는데 1강에서 2강 가다가 터져뿌따...ㅠ,0,331,23.07.06,대부TV,https://cafe.daum.net/odin/D034/369359,"넘모 슬프다.

","요약: ""슬픈 건의사항을 보내드렸습니다.""",-0.4
35,369358,자사시 렙업 어디서하나여,0,482,23.07.06,어쌔신을키우자,https://cafe.daum.net/odin/D034/369358,"55 스나입니다공허 지감 제외하면 사냥안하나여?

",스나이퍼 직업의 기존 스킬에서 제외된 공허 지갑과 같은 것을 제외하고는 사냥이 어렵습니다.,0.2
36,369357,클체때..,0,228,23.07.06,발할랄라리,https://cafe.daum.net/odin/D034/369357,"다크전압을 아크전압으로 바꾸는 방법은 아예 없나요...

",프로세스 전압을 아크전압으로 변환할 수 있는 방법이 존재하지는 않을까요?,-0.7
37,369356,기념증서 10개 안받았는데 왜 품절인가요... 시정해주세요,0,266,23.07.06,박정아,https://cafe.daum.net/odin/D034/369356,"한개 더있어야 등록 끝나는데 안받아져요

",등록이 완료되기 위해서는 한 개 더 있는 것이 필요한데 이를 받아주지 않습니다.,0.9
38,369355,최하층,2,1211,23.07.06,에스파닝닝,https://cafe.daum.net/odin/D034/369355,"2년간 필드 및 던전에서 영템 못먹다가최하층 다니기 시작한지 한달정도 됐는데두번째 영템 먹음 근데 둘다 가격은.... 하...고급 혼돈의부적이 450원인데 난쟁이신발 500원ㅋㅋㅋㅋㅋㅋㅋㅋㅋ나도 독수리팬던트 먹고만다

","한달 전에 최하층에 도착해서 두 번째 영템을 먹었는데, 가격은 고급 혼돈의 부적이 450원, 나그네의 어깨보호대가 500원으로 나왔다.",-0.5
39,369354,이거도 골드로 팔게 해줭,0,1057,23.07.06,픡픡이,https://cafe.daum.net/odin/D034/369354,"바꿔먹을거 없음 골드로 팔게해주랑

",공동구매로 얻은 상품을 골드로 판매할 수 있는 기회를 제공해주세요.,0.1
40,369351,프1) 너구리월드가 잘못한점들,0,578,23.07.06,a122,https://cafe.daum.net/odin/D034/369351,"1.쟁나기전 중립들 다같이 보스잡을때 지들 길드쌔다고 보스 따로 움직임 = 당연히 중립과 멀어질수밖에없고 삔또상해서 서버 곱창내고 라인선포 2.서버가 화합의장이된 기쁜상황에 곱창내고 라인선포했으면 채팅창에 중립들 반발생길거는 감안했어야되는데 채팅 ???올리는 중립들 적대걸고 칼로 썰어제낌 (1년동안 중립기어박다가 호랑이들 빠지니깐 ㅈ밥들 밖에 안보였는지 라인선언ㅋ추하다) 3.쟁초반 너구리길드가 1위길드이다보니 기존고투력+서버이전온 고투력이 몰려 길드내부 결속부터 다져야했는데 라인욕심낸 인원들 의견만 따라간거같음 현재는 15명 길탈(그나마 생각있는 애들) 나머지는 콘크리트에 길드원 ㅈ도 신경안쓰는 ㅂㅅ들전설템값도 떨어지는데 사냥도못하고 이미지 쓰레기되면서까지 게임하는게 이해가 안감

","1. 중립들과 함께 보스를 잡을때, 일부 길드가 따로 움직여 중립과 멀어지고 삐걱거려서 서버 분열이 일어나고 채팅에서도 적대적인 행동을 한 것이 이해되지 않는다.
2. 서버가 화합의 장으로 변했는데도 채팅에서 중립들이 반대하고 칼로 썰어놓은 모습이 추하다.
3. 초반에는 너구리길드가 1위고 투력이 많이 몰려와서 내부 결속을 다져야 했지만, 라인 욕심내던 일부 인원들의 의견만 따라가고, 나머지 길드원들은 돌볼이 없어지고 이미지도 쓰레기가 되면서 게임하는 이유를 이해하지 못하겠다.",-0.3
41,369350,어쌔신 망토 추천,0,303,23.07.06,숨결,https://cafe.daum.net/odin/D034/369350,"어쌔신은 망토1. 나무정령 망토 2. 칼깃망토.  그래도 어쌔니 치확치뎀 붙은 칼깃인가요? 아니면 모뎀에 명중 2높은 나정령인가요??

","어쌔신의 망토 선택에 대해서는 치확치뎀이 붙은 칼깃 망토인지, 아니면 명중이 2 높은 나무정령 망토인지 알고 싶습니다.",0.8
42,369349,방어력...,0,413,23.07.06,외양간오딘,https://cafe.daum.net/odin/D034/369349,"방어력 겁나올려도 사냥터 높은데 못가는데 받모뎀보다 효율이 왜이렇게 낮은거임 방어력무슨 잘못한거 있음??

",방어력을 높여도 사냥터에서 효율이 낮아지는 이유가 무엇인지 궁금합니다.,-0.6
43,369348,2년된 게임에 오픈 일주일만에 쌍신화 뽑을 줄은 몰랐다.,0,1145,23.07.06,사자22,https://cafe.daum.net/odin/D034/369348,"진짜 오딘 안죽고 끝까지 가는구나... 하락장에 베팅한 내가 바보였다..

","나는 오딘이 하락장에서도 끝까지 살아남을 줄 알았는데, 베팅한 것은 어리석었다.",0.7
44,369345,내꺼 어때.,0,1594,23.07.06,끄비비,https://cafe.daum.net/odin/D034/369345,,,-0.2
45,369343,"매출액 탑5중 오딘만큼 버그,오류 많고 없뎃인 게임이 있나?",0,341,23.07.06,큰거오딘,https://cafe.daum.net/odin/D034/369343,,,-0.1
46,369342,속보) 프레1 너구리월드 숙면중에....,3,1249,23.07.06,캐속,https://cafe.daum.net/odin/D034/369342,"티르 빼앗겨 울분 토하는중 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ아직 활수련도 안배운사람이 있다던데... 실화냐...?

",흥정 없이 아직 활수련을 안 배운 사람이 있다는 것이 놀라워 자신이 티르를 빼앗긴 것에 대해 울분을 토하고 있습니다.,-0.8
47,369340,아바타 쿠폰 -＞제작 국룰이었음?,0,1184,23.07.06,드라간,https://cafe.daum.net/odin/D034/369340,"ㅅㅂ 제작은 확정영웅이고 합성은 희귀네ㅋㅋㅋㅋ 무슨생각으로 만든거임?

",확정영웅인 ㅅㅂ 제작은 합성이 희귀해서 놀랍다.,0.6
48,369339,쥬뙤따 템 안팔린다,0,1944,23.07.06,핵 산,https://cafe.daum.net/odin/D034/369339,"후달린다.. 

","문장 요약: ""건의사항에 대해 신속하게 대응해주세요.""",-0.9
49,369338,맨날 아이패드로만 하다,0,570,23.07.06,틀딱만보면 물어뜯음,https://cafe.daum.net/odin/D034/369338,"피방갈일 생겨서 오딘 해봤는데그래픽이 지리네..돈 쓰면서 할만한듯(ㅈㄴ비싼 피규어 수집하는 기분으로)근데 딱 그래픽말곤 칭찬할건 없어;

",오딘의 그래픽은 좋지만 그 외에는 칭찬할 만한 점이 없는 것 같습니다.,0.4
